ID,Type,Severity,Category,Component,File,Line,Message,Fixable
TS-1754430292163-6hbiirpj2,TypeScript Error,LOW,COMPILATION,components/Analytics,src/components/Analytics/AnalyticsPage.tsx,226,"Expected 2 arguments, but got 0.",Yes
TS-1754430292163-flbtrfbsi,TypeScript Error,LOW,COMPILATION,components/GoWild,src/components/GoWild/GoWildMode.tsx,160,"Property 'startTime' is missing in type '{ nodes: ExplorationNode[]; edges: ExplorationEdge[]; discoveries: Discovery[]; currentNodeId: string | null; }' but required in type 'ExplorationPath'.",Yes
TS-1754430292163-zyb6ohkgi,TypeScript Error,HIGH,COMPILATION,components/Harvest,src/components/Harvest/SaveSeedModal.tsx,259,"Type '""public"" | ""private"" | ""team""' is not assignable to type '""private""'.",Yes
TS-1754430292163-g5a51xnli,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,327,"Property 'disabled' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-g0o4xl2k0,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,346,"Property 'disabled' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-qrpwfzjpw,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,366,"Property 'min' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-hiufgpvb3,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,367,"Property 'max' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-4wbrptg1t,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,368,"Property 'step' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-5xws646d0,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,369,"Property 'disabled' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-fs4sr13g9,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,383,"Property 'disabled' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-h8dx28zbx,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,391,"Property 'options' does not exist on type '{ key: string; label: string; type: string; min: number; max: number; description: string; icon: LucideIcon; step?: undefined; } | { key: string; label: string; type: string; min: number; max: number; step: number; description: string; icon: LucideIcon; } | { ...; } | { ...; } | { ...; } | { ...; }'.",Yes
TS-1754430292163-176v4upa5,TypeScript Error,MEDIUM,COMPILATION,components/Settings,src/components/Settings/AgentSettings.tsx,391,"Parameter 'option' implicitly has an 'any' type.",Yes
TS-1754430292163-coyaz0clq,TypeScript Error,LOW,COMPILATION,components/Settings,src/components/Settings/LocalModelSetupModal.tsx,422,"This comparison appears to be unintentional because the types '3' and '4' have no overlap.",Yes
TS-1754430292163-65f8csj7j,TypeScript Error,CRITICAL,COMPILATION,components/Settings,src/components/Settings/QwenModelSettings.tsx,29,"Property 'qwenLocalModel' does not exist on type 'Settings'.",Yes
TS-1754430292163-qbc5pithf,TypeScript Error,HIGH,COMPILATION,components/Settings,src/components/Settings/QwenModelSettings.tsx,77,"Type '""qwen_local""' is not assignable to type '""claude"" | ""qwen"" | undefined'.",Yes
TS-1754430292163-ymensemiu,TypeScript Error,LOW,COMPILATION,components/Settings,src/components/Settings/QwenModelSettings.tsx,111,"This comparison appears to be unintentional because the types '""claude"" | ""qwen"" | undefined' and '""qwen_local""' have no overlap.",Yes
TS-1754430292163-fyjpvof26,TypeScript Error,CRITICAL,COMPILATION,components/YamlConfig,src/components/YamlConfig/YamlGenerator.tsx,22,"Argument of type 'YamlConfig | undefined' is not assignable to parameter of type 'SetStateAction<string>'.",Yes
TS-1754430292163-b2ko5xu8m,TypeScript Error,CRITICAL,COMPILATION,components/YamlConfig,src/components/YamlConfig/YamlGenerator.tsx,23,"Argument of type 'GenerationResponse' is not assignable to parameter of type 'SetStateAction<YamlGenerationResponse | null>'.",Yes
